No,Nama File,Kelas Daun,Prediksi Kelas Daun,Confidence Score
1,testing_001.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,85.46%
2,testing_002.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,87.21%
3,testing_003.jpg,Daun Alpukat,Daun Leci NoBG,91.96%
4,testing_004.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,72.34%
5,testing_005.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,83.35%
6,testing_006.jpg,Daun Alpukat,Daun Leci NoBG,57.01%
7,testing_007.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,95.31%
8,testing_008.jpg,Daun Alpukat,Daun Leci NoBG,95.96%
9,testing_009.jpg,Daun Alpukat,Daun Leci NoBG,82.17%
10,testing_010.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,57.20%
11,testing_011.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,83.63%
12,testing_012.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,73.09%
13,testing_013.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,89.50%
14,testing_014.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,82.21%
15,testing_015.jpg,Daun Alpukat,Daun Leci NoBG,98.86%
16,testing_016.jpg,Daun Alpukat,Daun Leci NoBG,53.16%
17,testing_017.jpg,Daun Alpukat,Daun Leci NoBG,51.72%
18,testing_018.jpg,Daun Alpukat,Daun Leci NoBG,64.54%
19,testing_019.jpg,Daun Alpukat,Daun Leci NoBG,98.86%
20,testing_020.jpg,Daun Alpukat,Daun Leci NoBG,55.62%
21,testing_021.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,91.13%
22,testing_022.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,91.12%
23,testing_023.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,76.60%
24,testing_024.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,63.56%
25,testing_025.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,76.34%
26,testing_026.jpg,Daun Alpukat,Daun Leci NoBG,77.91%
27,testing_027.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,77.12%
28,testing_028.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,80.10%
29,testing_029.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,79.10%
30,testing_030.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,98.84%
31,testing_031.jpg,Daun Alpukat,Daun Leci NoBG,97.25%
32,testing_032.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,94.78%
33,testing_033.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,81.49%
34,testing_034.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,99.54%
35,testing_035.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,54.91%
36,testing_036.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,94.78%
37,testing_037.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,98.84%
38,testing_038.jpg,Daun Alpukat,Daun Leci NoBG,97.31%
39,testing_039.jpg,Daun Alpukat,Daun Leci NoBG,81.80%
40,testing_040.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,50.37%
41,testing_041.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,66.12%
42,testing_042.jpg,Daun Alpukat,Daun Leci NoBG,48.40%
43,testing_043.jpg,Daun Alpukat,Daun Leci Rusak BG,47.32%
44,testing_044.jpg,Daun Alpukat,Daun Leci Rusak BG,61.30%
45,testing_045.jpg,Daun Alpukat,Daun Leci Rusak BG,73.01%
46,testing_046.jpg,Daun Alpukat,Daun Leci Rusak BG,44.02%
47,testing_047.jpg,Daun Alpukat,Daun Leci Rusak BG,68.18%
48,testing_048.jpg,Daun Alpukat,Daun Leci NoBG,52.32%
49,testing_049.jpg,Daun Alpukat,Daun Leci NoBG,71.47%
50,testing_050.jpg,Daun Alpukat,Daun Leci NoBG,48.19%
51,testing_051.jpg,Daun Alpukat,Daun Leci Rusak BG,92.36%
52,testing_052.jpg,Daun Alpukat,Daun Leci NoBG,81.37%
53,testing_053.jpg,Daun Alpukat,Daun Leci NoBG,66.49%
54,testing_054.jpg,Daun Alpukat,Daun Leci Rusak BG,96.96%
55,testing_055.jpg,Daun Alpukat,Daun Leci Rusak BG,71.39%
56,testing_056.jpg,Daun Alpukat,Daun Leci Rusak BG,90.64%
57,testing_057.jpg,Daun Alpukat,Daun Leci NoBG,96.23%
58,testing_058.jpg,Daun Alpukat,Daun Leci NoBG,53.91%
59,testing_059.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,58.35%
60,testing_060.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,96.84%
61,testing_061.jpg,Daun Alpukat,Daun Leci NoBG,50.77%
62,testing_062.jpg,Daun Alpukat,Daun Leci NoBG,69.50%
63,testing_063.jpg,Daun Alpukat,Daun Alpukat Rusak NoBG,98.62%
64,testing_064.jpg,Daun Alpukat,Daun Leci NoBG,79.85%
65,testing_065.jpg,Daun Alpukat,Daun Leci Rusak BG,37.01%
