No,Nama File,Kelas Daun,Prediksi Kelas Daun,Confidence Score
1,testing_001.jpg,Daun Alpukat,Daun Alpukat NoBG,99.99%
2,testing_002.jpg,Daun Alpukat,Daun Alpukat NoBG,99.98%
3,testing_003.jpg,Daun Alpukat,Daun Alpukat NoBG,92.90%
4,testing_004.jpg,Daun Alpukat,Daun Alpukat NoBG,99.93%
5,testing_005.jpg,Daun Alpukat,Daun Alpukat NoBG,100.00%
6,testing_006.jpg,Daun Alpukat,Daun Alpukat NoBG,99.98%
7,testing_007.jpg,Daun Alpukat,Daun Alpukat NoBG,99.99%
8,testing_008.jpg,Daun Alpukat,Daun Alpukat NoBG,99.65%
9,testing_009.jpg,Daun Alpukat,Daun Alpukat NoBG,99.99%
10,testing_010.jpg,Daun Alpukat,Daun Alpukat NoBG,99.90%
11,testing_011.jpg,Daun Alpukat,Daun Alpukat NoBG,99.97%
12,testing_012.jpg,Daun Alpukat,Daun Alpukat NoBG,99.99%
13,testing_013.jpg,Daun Alpukat,Daun Alpukat NoBG,99.97%
14,testing_014.jpg,Daun Alpukat,Daun Alpukat NoBG,99.24%
15,testing_015.jpg,Daun Alpukat,Daun Alpukat NoBG,100.00%
16,testing_016.jpg,Daun Alpukat,Daun Alpukat NoBG,99.92%
17,testing_017.jpg,Daun Alpukat,Daun Alpukat NoBG,99.57%
18,testing_018.jpg,Daun Alpukat,Daun Alpukat NoBG,99.60%
19,testing_019.jpg,Daun Alpukat,Daun Alpukat NoBG,99.98%
20,testing_020.jpg,Daun Alpukat,Daun Alpukat NoBG,99.96%
21,testing_021.jpg,Daun Alpukat,Daun Alpukat NoBG,99.91%
22,testing_022.jpg,Daun Alpukat,Daun Alpukat NoBG,99.99%
23,testing_023.jpg,Daun Alpukat,Daun Alpukat NoBG,99.79%
24,testing_024.jpg,Daun Alpukat,Daun Alpukat NoBG,99.00%
25,testing_025.jpg,Daun Alpukat,Daun Alpukat NoBG,100.00%
26,testing_026.jpg,Daun Alpukat,Daun Alpukat NoBG,97.54%
27,testing_027.jpg,Daun Alpukat,Daun Alpukat NoBG,99.96%
28,testing_028.jpg,Daun Alpukat,Daun Alpukat NoBG,98.97%
29,testing_029.jpg,Daun Alpukat,Daun Alpukat NoBG,99.78%
30,testing_030.jpg,Daun Alpukat,Daun Alpukat NoBG,99.99%
31,testing_031.jpg,Daun Alpukat,Daun Alpukat NoBG,100.00%
32,testing_032.jpg,Daun Alpukat,Daun Alpukat NoBG,99.94%
33,testing_033.jpg,Daun Alpukat,Daun Alpukat NoBG,99.50%
34,testing_034.jpg,Daun Alpukat,Daun Alpukat NoBG,99.99%
35,testing_035.jpg,Daun Alpukat,Daun Alpukat NoBG,99.94%
36,testing_036.jpg,Daun Alpukat,Daun Alpukat NoBG,100.00%
37,testing_037.jpg,Daun Alpukat,Daun Alpukat NoBG,100.00%
38,testing_038.jpg,Daun Alpukat,Daun Alpukat NoBG,99.90%
39,testing_039.jpg,Daun Alpukat,Daun Alpukat NoBG,99.85%
40,testing_040.jpg,Daun Alpukat,Daun Alpukat NoBG,99.94%
41,testing_041.jpg,Daun Alpukat,Daun Alpukat NoBG,99.99%
42,testing_042.jpg,Daun Alpukat,Daun Alpukat NoBG,99.99%
43,testing_043.jpg,Daun Alpukat,Daun Alpukat NoBG,99.78%
44,testing_044.jpg,Daun Alpukat,Daun Alpukat NoBG,99.99%
45,testing_045.jpg,Daun Alpukat,Daun Alpukat NoBG,99.92%
46,testing_046.jpg,Daun Alpukat,Daun Alpukat NoBG,99.99%
47,testing_047.jpg,Daun Alpukat,Daun Alpukat NoBG,86.65%
48,testing_048.jpg,Daun Alpukat,Daun Alpukat NoBG,99.20%
49,testing_049.jpg,Daun Alpukat,Daun Alpukat NoBG,98.38%
50,testing_050.jpg,Daun Alpukat,Daun Alpukat NoBG,99.63%
51,testing_051.jpg,Daun Alpukat,Daun Alpukat NoBG,99.98%
52,testing_052.jpg,Daun Alpukat,Daun Alpukat NoBG,99.64%
53,testing_053.jpg,Daun Alpukat,Daun Alpukat NoBG,97.90%
54,testing_054.jpg,Daun Alpukat,Daun Alpukat NoBG,99.22%
55,testing_055.jpg,Daun Alpukat,Daun Alpukat NoBG,99.53%
56,testing_056.jpg,Daun Alpukat,Daun Alpukat NoBG,99.64%
57,testing_057.jpg,Daun Alpukat,Daun Alpukat NoBG,99.95%
58,testing_058.jpg,Daun Alpukat,Daun Alpukat NoBG,96.86%
59,testing_059.jpg,Daun Alpukat,Daun Alpukat NoBG,99.88%
60,testing_060.jpg,Daun Alpukat,Daun Alpukat NoBG,99.49%
61,testing_061.jpg,Daun Alpukat,Daun Alpukat NoBG,94.97%
62,testing_062.jpg,Daun Alpukat,Daun Alpukat NoBG,99.98%
